Layer,Address,Decimal,Hex,Binary
conv1,0,17,11,00010001
conv1,1,-22,EA,11101010
conv1,2,33,21,00100001
conv1,3,20,14,00010100
conv1,4,22,16,00010110
conv1,5,-23,E9,11101001
conv1,6,-21,EB,11101011
conv1,7,40,28,00101000
conv1,8,30,1E,00011110
conv1,9,22,16,00010110
conv1,10,33,21,00100001
conv1,11,27,1B,00011011
conv1,12,-25,E7,11100111
conv1,13,27,1B,00011011
conv1,14,-30,E2,11100010
conv1,15,43,2B,00101011
conv1,16,-35,DD,11011101
conv1,17,-31,E1,11100001
conv1,18,35,23,00100011
conv1,19,-31,E1,11100001
conv1,20,28,1C,00011100
conv1,21,-31,E1,11100001
conv1,22,-19,ED,11101101
conv1,23,20,14,00010100
conv1,24,-36,DC,11011100
conv1,25,-20,EC,11101100
conv1,26,-25,E7,11100111
conv1,27,31,1F,00011111
conv1,28,-22,EA,11101010
conv1,29,30,1E,00011110
conv1,30,19,13,00010011
conv1,31,-23,E9,11101001
conv1,32,-27,E5,11100101
conv1,33,29,1D,00011101
conv1,34,-18,EE,11101110
conv1,35,25,19,00011001
conv1,36,-27,E5,11100101
conv1,37,32,20,00100000
conv1,38,-20,EC,11101100
conv1,39,39,27,00100111
conv1,40,-29,E3,11100011
conv1,41,22,16,00010110
conv1,42,27,1B,00011011
conv1,43,-21,EB,11101011
conv1,44,41,29,00101001
conv1,45,35,23,00100011
conv1,46,18,12,00010010
conv1,47,19,13,00010011
conv1,48,-18,EE,11101110
conv1,49,-21,EB,11101011
conv1,50,27,1B,00011011
conv1,51,-26,E6,11100110
conv1,52,35,23,00100011
conv1,53,17,11,00010001
conv1,54,40,28,00101000
conv1,55,-31,E1,11100001
conv1,56,32,20,00100000
conv1,57,18,12,00010010
conv1,58,42,2A,00101010
conv1,59,-45,D3,11010011
conv1,60,31,1F,00011111
conv1,61,29,1D,00011101
conv1,62,-18,EE,11101110
conv1,63,29,1D,00011101
conv1,64,-41,D7,11010111
conv1,65,29,1D,00011101
conv1,66,34,22,00100010
conv1,67,34,22,00100010
conv1,68,-64,C0,11000000
conv1,69,46,2E,00101110
conv1,70,45,2D,00101101
conv1,71,44,2C,00101100
conv1,72,-17,EF,11101111
conv1,73,-51,CD,11001101
conv1,74,56,38,00111000
conv1,75,-27,E5,11100101
conv1,76,37,25,00100101
conv1,77,63,3F,00111111
conv1,78,-77,B3,10110011
conv1,79,56,38,00111000
conv1,80,50,32,00110010
conv1,81,-58,C6,11000110
conv1,82,71,47,01000111
conv1,83,-24,E8,11101000
conv1,84,61,3D,00111101
conv1,85,-70,BA,10111010
conv1,86,75,4B,01001011
conv1,87,38,26,00100110
conv1,88,61,3D,00111101
conv1,89,-52,CC,11001100
conv1,90,72,48,01001000
conv1,91,35,23,00100011
conv1,92,-21,EB,11101011
conv1,93,-37,DB,11011011
conv1,94,-42,D6,11010110
conv1,95,56,38,00111000
conv1,96,-38,DA,11011010
conv1,97,60,3C,00111100
conv1,98,34,22,00100010
conv1,99,-29,E3,11100011
conv1,100,-33,DF,11011111
conv1,101,54,36,00110110
conv1,102,-31,E1,11100001
conv1,103,67,43,01000011
conv1,104,36,24,00100100
conv1,105,-40,D8,11011000
conv1,106,62,3E,00111110
conv1,107,-30,E2,11100010
conv1,108,66,42,01000010
conv1,109,38,26,00100110
conv1,110,-52,CC,11001100
conv1,111,74,4A,01001010
conv1,112,-28,E4,11100100
conv1,113,66,42,01000010
conv1,114,43,2B,00101011
conv1,115,-84,AC,10101100
conv1,116,-36,DC,11011100
conv1,117,48,30,00110000
conv1,118,-28,E4,11100100
conv1,119,46,2E,00101110
conv1,120,60,3C,00111100
conv1,121,-24,E8,11101000
conv1,122,-37,DB,11011011
conv1,123,-50,CE,11001110
conv1,124,67,43,01000011
conv1,125,30,1E,00011110
conv1,126,40,28,00101000
conv1,127,52,34,00110100
conv1,128,-61,C3,11000011
conv1,129,-23,E9,11101001
conv1,130,38,26,00100110
conv1,131,29,1D,00011101
conv1,132,-33,DF,11011111
conv1,133,45,2D,00101101
conv1,134,-20,EC,11101100
conv1,135,-33,DF,11011111
conv1,136,22,16,00010110
conv1,137,26,1A,00011010
conv1,138,22,16,00010110
conv1,139,21,15,00010101
conv1,140,-21,EB,11101011
conv1,141,17,11,00010001
conv1,142,19,13,00010011
conv1,143,22,16,00010110
conv1,144,-28,E4,11100100
conv1,145,-18,EE,11101110
conv1,146,-22,EA,11101010
conv1,147,-34,DE,11011110
conv1,148,27,1B,00011011
conv1,149,31,1F,00011111
conv1,150,-48,D0,11010000
conv1,151,27,1B,00011011
conv1,152,24,18,00011000
conv1,153,31,1F,00011111
conv1,154,-53,CB,11001011
conv1,155,29,1D,00011101
conv1,156,17,11,00010001
conv1,157,24,18,00011000
conv1,158,-34,DE,11011110
conv1,159,22,16,00010110
conv1,160,39,27,00100111
conv1,161,38,26,00100110
conv1,162,-27,E5,11100101
conv1,163,-43,D5,11010101
conv1,164,27,1B,00011011
conv1,165,46,2E,00101110
conv1,166,-22,EA,11101010
conv1,167,46,2E,00101110
conv1,168,-51,CD,11001101
conv1,169,46,2E,00101110
conv1,170,21,15,00010101
conv1,171,-34,DE,11011110
conv1,172,-27,E5,11100101
conv1,173,-55,C9,11001001
conv1,174,49,31,00110001
conv1,175,25,19,00011001
conv1,176,26,1A,00011010
conv1,177,-30,E2,11100010
conv1,178,60,3C,00111100
conv1,179,-68,BC,10111100
conv1,180,42,2A,00101010
conv1,181,29,1D,00011101
conv1,182,-22,EA,11101010
conv1,183,-27,E5,11100101
conv1,184,53,35,00110101
conv1,185,-80,B0,10110000
conv1,186,57,39,00111001
conv1,187,54,36,00110110
conv1,188,-34,DE,11011110
conv1,189,-76,B4,10110100
conv1,190,50,32,00110010
conv1,191,25,19,00011001
conv1,192,-18,EE,11101110
conv1,193,-33,DF,11011111
conv1,194,57,39,00111001
conv1,195,-53,CB,11001011
conv1,196,58,3A,00111010
conv1,197,-19,ED,11101101
conv1,198,-34,DE,11011110
conv1,199,66,42,01000010
conv1,200,-43,D5,11010101
conv1,201,75,4B,01001011
conv1,202,-24,E8,11101000
conv1,203,-51,CD,11001101
conv1,204,64,40,01000000
conv1,205,-34,DE,11011110
conv1,206,80,50,01010000
conv1,207,-29,E3,11100011
conv1,208,-26,E6,11100110
conv1,209,-32,E0,11100000
conv1,210,67,43,01000011
conv1,211,-43,D5,11010101
conv1,212,-27,E5,11100101
conv1,213,53,35,00110101
conv1,214,-41,D7,11010111
conv1,215,51,33,00110011
conv1,216,-25,E7,11100111
conv1,217,-25,E7,11100111
conv1,218,37,25,00100101
conv1,219,-55,C9,11001001
conv1,220,37,25,00100101
conv1,221,-45,D3,11010011
conv1,222,26,1A,00011010
conv1,223,-17,EF,11101111
conv1,224,-18,EE,11101110
conv1,225,-28,E4,11100100
conv1,226,18,12,00010010
conv1,227,26,1A,00011010
conv1,228,-33,DF,11011111
conv1,229,-33,DF,11011111
conv1,230,27,1B,00011011
conv1,231,-26,E6,11100110
conv1,232,26,1A,00011010
conv1,233,24,18,00011000
conv1,234,-38,DA,11011010
conv1,235,35,23,00100011
conv1,236,23,17,00010111
conv1,237,25,19,00011001
conv1,238,38,26,00100110
conv1,239,-31,E1,11100001
conv1,240,36,24,00100100
conv1,241,-30,E2,11100010
conv1,242,22,16,00010110
conv1,243,29,1D,00011101
conv1,244,40,28,00101000
conv1,245,-38,DA,11011010
conv1,246,-30,E2,11100010
conv1,247,-34,DE,11011110
conv1,248,-32,E0,11100000
conv1,249,37,25,00100101
conv1,250,23,17,00010111
conv1,251,-25,E7,11100111
conv1,252,-28,E4,11100100
conv1,253,-35,DD,11011101
conv1,254,35,23,00100011
conv1,255,25,19,00011001
conv1,256,-36,DC,11011100
conv1,257,37,25,00100101
conv1,258,49,31,00110001
conv1,259,28,1C,00011100
conv1,260,-34,DE,11011110
conv1,261,-34,DE,11011110
conv1,262,31,1F,00011111
conv1,263,18,12,00010010
conv1,264,-40,D8,11011000
conv1,265,-36,DC,11011100
conv1,266,34,22,00100010
conv1,267,26,1A,00011010
conv1,268,-47,D1,11010001
conv1,269,-44,D4,11010100
conv1,270,20,14,00010100
conv1,271,-58,C6,11000110
conv1,272,-22,EA,11101010
conv1,273,-50,CE,11001110
conv1,274,-45,D3,11010011
conv1,275,-22,EA,11101010
conv1,276,-46,D2,11010010
conv1,277,-24,E8,11101000
conv1,278,-43,D5,11010101
conv1,279,-24,E8,11101000
conv1,280,-26,E6,11100110
conv1,281,-32,E0,11100000
conv1,282,-20,EC,11101100
conv1,283,-17,EF,11101111
conv1,284,-30,E2,11100010
conv1,285,-51,CD,11001101
conv1,286,-23,E9,11101001
conv1,287,17,11,00010001
